date,post_text
2024-01-01,"La comida estuvo deliciosa, volveré pronto!"
2024-01-01,"El ambiente estuvo muy agradable 😊"
2024-01-01,"Muy buena atención y la comida llegó rápido"

2024-01-02,"El servicio fue muy lento 😞"
2024-01-02,"La comida estaba fría cuando llegó"
2024-01-02,"Los meseros no estaban muy atentos"

2024-01-03,"Excelente experiencia, los postres increíbles!"
2024-01-03,"La música estaba muy alta, pero todo bien"
2024-01-03,"Volvería sin pensarlo"

2024-01-04,"Los precios están un poco altos"
2024-01-04,"Buen sabor pero porciones pequeñas"

2024-01-05,"Todo estuvo espectacular ⭐⭐⭐⭐⭐"
2024-01-05,"Muy buen lugar para celebrar con amigos"

2024-01-06,"No me atendieron bien hoy 😕"
2024-01-06,"La comida demoró demasiado"

2024-01-07,"Los platos del chef son increíbles!"
2024-01-07,"El lugar estaba lleno pero nos atendieron rápido"

2024-01-08,"No me gustó el sabor del plato que pedí"
2024-01-08,"La bebida sabía extraño"

2024-01-09,"Excelente lugar para almorzar"
2024-01-09,"Buen servicio en general"

2024-01-10,"La salsa estaba muy picante para mi gusto"
2024-01-10,"El restaurante estaba limpio y ordenado"

2024-01-11,"Comida deliciosa como siempre!"
2024-01-11,"El menú del día estuvo muy bueno"

2024-01-12,"Los tiempos de espera son terribles 😡"
2024-01-12,"No recomiendo venir en hora pico"

2024-01-13,"Todo llegó perfecto y muy rápido"
2024-01-13,"Me encantó el nuevo menú"

2024-01-14,"Muy buen café y postres"
2024-01-14,"Experiencia agradable"

2024-01-15,"La atención al cliente necesita mejorar"
2024-01-15,"Los baños estaban sucios"

2024-01-16,"El chef salió a saludar, fue muy amable 😊"
2024-01-16,"Los platos tenían un sabor espectacular"

2024-01-17,"Demasiado ruido en el lugar 😕"
2024-01-17,"La comida estuvo bien"

2024-01-18,"Buen servicio, nos atendieron rápido"
2024-01-18,"Los precios razonables para la calidad"

2024-01-19,"El postre de chocolate fue una locura 😍"
2024-01-19,"Definitivamente volveré pronto"

2024-01-20,"Los meseros estaban desorganizados"
2024-01-20,"Se demoraron en tomarnos la orden"

2024-01-21,"La mejor experiencia en mucho tiempo!"
2024-01-21,"Todo estuvo delicioso"

2024-01-22,"El pescado estaba crudo 😡"
2024-01-22,"Muy mala experiencia hoy"

2024-01-23,"Buen ambiente, comida deliciosa"
2024-01-23,"El lugar estaba impecable"

2024-01-24,"Nada especial, estuvo normal"
2024-01-24,"Un poco costoso"

2024-01-25,"Increíble atención, muy recomendado!"
2024-01-25,"Volveré con mi familia"

2024-01-26,"El pollo estaba seco"
2024-01-26,"No me gustó la ensalada"

2024-01-27,"Perfecto para una cena romántica"
2024-01-27,"El servicio fue excelente"

2024-01-28,"La comida muy grasosa 😒"
2024-01-28,"No cumplió mis expectativas"

2024-01-29,"Todo estuvo delicioso, 10/10"
2024-01-29,"El servicio impecable"

2024-01-30,"Muy buena experiencia hoy"
2024-01-30,"Me encantó la comida y la atención"
